url,title,city,district,ward_commune,street,area,bed,toilet,legal_status,furniture,price
https://batdongsan.com.vn//ban-can-ho-chung-cu-duong-an-duong-vuong-phuong-an-lac-6-prj-the-privia/mo-ban-dot-1-thanh-toan-20-nhan-nha-ck-10-tang-1-3-chi-vang-lh-pr38549895,"Giỏ hàng Privia Khang Điền giá tốt view đẹp cọc ngay chiết khấu 10%, tặng vàng, máy lạnh 0921 228 ***",Hồ Chí Minh,Bình Tân,Phường An Lạc,Đường An Dương Vương,66 m²,2,2,Sổ đỏ/ Sổ hồng,Cơ bản,3
https://batdongsan.com.vn//ban-can-ho-chung-cu-duong-an-duong-vuong-phuong-an-lac-6-prj-the-privia/-khang-dien-lien-ke-aeon-mall-tt-chi-20-600tr-nhan-nha-ck-10-pr38461531,"Giỏ hàng Privia nhiều căn đẹp, chiết khấu 10% + tặng vàng, hỗ trợ NH 0% trong 2 năm 0909 407 ***",Hồ Chí Minh,Bình Tân,Phường An Lạc,Đường An Dương Vương,66 m²,2,2,Hợp đồng mua bán,Cơ bản,"3,1"
https://batdongsan.com.vn//ban-can-ho-chung-cu-duong-n1-phuong-son-ky-prj-celadon-city/phan-dien-pkd-gamuda-land-doc-quyen-ro-hang-gia-ban-tu-2-7-ty-65m2-duplex-skyline-pr38488505,"ĐỘC QUYỀN RỔ HÀNG CELADON CITY MUA TRỰC TIẾP CĐT GAMUDA LAND, KHU DIAMOND BRILLIANT, ALNATA PLUS",Hồ Chí Minh,Tân Phú,Phường Sơn Kỳ,Đường N1,"85,4 m²",2,2,Sổ đỏ/ Sổ hồng,Đầy đủ,"4,35"
https://batdongsan.com.vn//ban-nha-rieng-duong-ma-lo-phuong-binh-tri-dong-a/ban-le-van-quoi-4-5m-x-12m-thiet-ke-hien-dai-sieu-dep-4pn-5wc-huong-dong-pr38737421,"Bán nhà đường Mã Lò - Lê Văn Quới (4,5m x 12m) - thiết kế hiện đại siêu đẹp, 4PN - 5WC, hướng Đông",,,,,54 m²,4,5,Sổ đỏ/ Sổ hồng,Đầy đủ,"4,9"
https://batdongsan.com.vn//ban-can-ho-chung-cu-duong-vo-van-kiet-phuong-an-lac-6-prj-akari-city-nam-long/-gio-hang-noi-bo-gia-chi-tu-700-trieu-2pn-chiet-khau-7-tra-gop-2-trieu-thang-pr38731227,Giỏ hàng nội bộ Akari City giá chỉ từ 700 triệu căn 2PN chiết khấu 7% - trả góp 2 triệu/tháng,Hồ Chí Minh,Bình Tân,Phường An Lạc,Đường Võ Văn Kiệt,78 m²,2,2,Hợp đồng mua bán,Cơ bản,"3,5"
https://batdongsan.com.vn//ban-can-ho-chung-cu-duong-xa-lo-ha-noi-phuong-thao-dien-prj-masteri-thao-dien/chuyen-chuyen-nhuong-gia-tot-nhat-thi-truong-lh-em-tram-pr38457642,Chuyên chuyển nhượng Masteri Thảo Điền giá tốt nhất thị trường. LH: 0931 177 *** em Trâm,,,,,65 m²,2,2,Sổ đỏ/ Sổ hồng,Đầy đủ,"4,1"
https://batdongsan.com.vn//ban-can-ho-chung-cu-duong-nguyen-van-linh-xa-binh-hung-1-prj-mizuki-park/mo-ban-chanh-cach-phu-my-6km-pr38431821,"Mở bán căn hộ Mizuki Park, Nguyễn Văn Linh, Bình Hưng, Bình Chánh. Cách Phú Mỹ Hưng 6km",Hồ Chí Minh,Bình Chánh,Xã Bình Hưng,Đường Nguyễn Văn Linh,82 m²,2,2,Sổ đỏ/ Sổ hồng,Cơ bản,"3,4"
https://batdongsan.com.vn//ban-can-ho-chung-cu-duong-vo-van-kiet-phuong-an-lac-6-prj-akari-city-nam-long/mo-b-block-ak-neo-dep-nhat-du-gia-tu-3-ty-2pn-chiet-khau-len-den-8-pr38431954,"Mở bán block AK NEO đẹp nhất dự án Akari City, giá từ 3 tỷ căn 2PN, chiết khấu lên đến 9%",,,,,60 m²,2,1,Sổ đỏ/ Sổ hồng,Cơ bản,3
https://batdongsan.com.vn//ban-can-ho-chung-cu-duong-n1-phuong-son-ky-prj-celadon-city/bang-gia-thang-11-tu-pkd-chu-dau-tu-diamond-alnata-plus-brilliant-centery-glen-pr38544746,"Bảng giá tháng 12 từ PKD chủ đầu tư Celadon City: Diamond Alnata, Plus, Brilliant, Centery, Glen",,,,,85 m²,2,2,Đang chờ sổ,Cơ bản,"4,3"
https://batdongsan.com.vn//ban-can-ho-chung-cu-duong-nguyen-van-linh-xa-binh-hung-1-prj-mizuki-park/-ban-loc-phat-mp6-08-08-3-25-ty-2pn-2wc-goc-view-kenh-dao-lh-0946835-pr38085839,2PN góc MP6 - 08.08 Lộc Phát - Mizuki Park - View Kênh Đào,Hồ Chí Minh,Bình Chánh,Xã Bình Hưng,Đường Nguyễn Văn Linh,67 m²,2,2,Hợp đồng mua bán,Cơ bản,"3,19"
